Id,Area,Bedrooms,Bathrooms,Floors,YearBuilt,Location,Condition,Garage,Price,HasPool,PoolArea,PoolQuality,PoolType
174,3011,1,4,2,1996,Urban,Fair,No,619071,No,0,None,None
175,2294,4,4,2,1991,Suburban,Fair,No,745169,No,0,None,None
176,1159,4,2,1,1951,Suburban,Good,No,759687,No,0,None,None
177,3311,3,4,2,1936,Suburban,Good,Yes,698782,Yes,48,Medium,Outdoor
178,1869,4,2,3,1907,Suburban,Excellent,No,690102,Yes,29,High,Outdoor
179,2486,3,2,1,1943,Suburban,Fair,No,300139,Yes,14,High,Outdoor
180,646,1,3,1,1997,Suburban,Good,No,967184,Yes,10,Low,Outdoor
181,3719,2,4,2,2007,Suburban,Poor,No,550228,Yes,39,Low,Indoor
182,3411,5,4,2,1904,Suburban,Fair,Yes,716217,Yes,12,High,Outdoor
183,2234,1,2,1,2017,Rural,Fair,No,747621,No,0,None,None
184,2343,4,2,3,1968,Suburban,Excellent,Yes,910020,Yes,23,Medium,Outdoor
185,988,5,1,2,1930,Rural,Poor,Yes,984499,Yes,39,Low,Outdoor
186,3476,2,1,2,1944,Rural,Excellent,No,296509,Yes,13,Low,Indoor
187,2459,2,2,3,1908,Downtown,Poor,No,63580,No,0,None,None
188,2885,3,1,3,2005,Downtown,Excellent,Yes,592528,Yes,27,Medium,Outdoor
189,3419,5,1,1,1931,Rural,Poor,Yes,828639,Yes,46,Low,Indoor
190,2302,3,2,3,1932,Rural,Poor,No,395590,No,0,None,None
191,4561,1,2,1,1966,Suburban,Poor,Yes,518968,Yes,34,Medium,Outdoor
192,3869,5,4,3,1929,Downtown,Good,No,940965,Yes,10,Medium,Outdoor
193,762,1,2,2,2013,Urban,Fair,No,828559,Yes,24,Medium,Indoor
194,1123,3,2,1,1975,Downtown,Poor,Yes,533663,Yes,18,High,Outdoor
195,1516,5,3,1,1928,Rural,Good,No,478082,Yes,24,High,Indoor
196,4143,3,4,1,1902,Rural,Good,No,655262,No,0,None,None
197,2549,5,4,3,1989,Suburban,Excellent,No,647689,No,0,None,None
198,4223,3,4,2,1956,Suburban,Fair,Yes,263165,No,0,None,None
199,3608,2,3,1,1929,Downtown,Fair,Yes,455427,Yes,33,High,Indoor
200,4590,3,2,1,1908,Suburban,Excellent,Yes,502201,Yes,13,Medium,Indoor
201,2556,2,4,1,1925,Urban,Fair,No,214340,Yes,21,Medium,Outdoor
202,3670,3,4,1,1901,Urban,Excellent,Yes,840078,No,0,None,None
203,2182,5,1,2,1961,Suburban,Good,Yes,760731,Yes,46,High,Outdoor
204,2755,5,4,3,1902,Urban,Good,Yes,822411,Yes,46,Low,Outdoor
205,1654,5,2,2,1945,Urban,Poor,No,354960,No,0,None,None
206,4999,4,2,1,1967,Downtown,Excellent,No,139460,Yes,15,Medium,Indoor
207,3691,1,1,2,1924,Urban,Good,Yes,356256,No,0,None,None
208,2196,5,4,1,1950,Rural,Good,Yes,101048,No,0,None,None
209,4491,2,4,3,1912,Rural,Excellent,Yes,780806,No,0,None,None
210,2148,5,4,3,2002,Downtown,Good,No,182850,Yes,48,Low,Outdoor
211,1945,4,3,3,1943,Suburban,Fair,Yes,882184,Yes,33,Low,Indoor
212,4699,2,4,1,1934,Downtown,Good,No,528193,Yes,20,Medium,Outdoor
213,4423,4,2,2,1954,Suburban,Excellent,No,907158,Yes,22,Medium,Indoor
214,753,2,2,3,1986,Suburban,Fair,No,786200,Yes,43,Low,Indoor
215,3683,3,3,1,1908,Suburban,Fair,Yes,994793,Yes,34,Low,Indoor
216,3057,1,3,1,1901,Suburban,Good,Yes,356932,Yes,16,High,Outdoor
217,598,1,4,2,1960,Suburban,Poor,No,316891,No,0,None,None
218,2700,4,1,3,2017,Downtown,Fair,No,574333,Yes,13,High,Indoor
219,3461,1,3,1,1940,Suburban,Excellent,No,582046,No,0,None,None
220,4933,4,3,2,1943,Urban,Poor,No,829685,Yes,17,Medium,Indoor
221,4277,4,4,3,1963,Urban,Poor,Yes,961508,Yes,29,High,Indoor
222,3369,4,4,2,1930,Suburban,Fair,Yes,728797,Yes,38,High,Indoor
223,3734,1,3,2,2007,Urban,Good,No,724945,No,0,None,None
224,4291,4,1,1,1946,Rural,Poor,No,190926,No,0,None,None
225,1456,1,3,1,1901,Downtown,Good,No,233148,No,0,None,None
226,4567,4,4,1,1995,Downtown,Fair,Yes,893382,No,0,None,None
227,660,5,4,2,1981,Suburban,Excellent,No,722709,Yes,19,High,Indoor
228,4993,4,3,1,1976,Suburban,Poor,Yes,801588,No,0,None,None
229,1800,2,1,2,2009,Rural,Excellent,No,726708,Yes,43,High,Indoor
230,4487,4,3,2,1968,Suburban,Good,Yes,215368,Yes,35,Low,Outdoor
231,2027,3,3,1,1957,Urban,Good,Yes,544496,No,0,None,None
232,1718,4,4,3,2005,Rural,Excellent,No,69455,No,0,None,None
233,4996,2,1,3,1943,Urban,Fair,Yes,784184,No,0,None,None
234,3604,2,2,3,1973,Downtown,Fair,Yes,515139,No,0,None,None
235,3235,1,1,2,1955,Urban,Poor,Yes,281897,No,0,None,None
236,1454,5,3,2,1942,Downtown,Poor,Yes,482509,No,0,None,None
237,3946,4,3,2,1988,Urban,Fair,No,542646,No,0,None,None
238,1545,1,3,1,1933,Downtown,Fair,No,662840,No,0,None,None
239,2193,5,1,2,2000,Suburban,Excellent,No,882548,Yes,12,Medium,Outdoor
240,3936,4,4,1,1929,Urban,Good,No,432605,No,0,None,None
241,1062,3,3,1,1970,Downtown,Good,No,614772,No,0,None,None
242,2985,4,3,3,1969,Urban,Poor,Yes,997719,Yes,15,High,Indoor
243,3854,2,1,3,2017,Rural,Fair,Yes,393782,No,0,None,None
244,725,2,2,3,1954,Suburban,Excellent,Yes,708764,Yes,14,Low,Outdoor
245,1459,3,2,1,1966,Downtown,Poor,Yes,218332,Yes,14,Low,Outdoor
246,3567,1,4,1,1912,Rural,Excellent,No,150647,No,0,None,None
247,1315,5,4,1,1902,Urban,Fair,No,639930,Yes,32,Low,Indoor
248,3620,4,3,2,1925,Rural,Fair,Yes,786091,Yes,18,High,Indoor
249,516,2,1,1,1956,Urban,Fair,No,882441,Yes,44,High,Indoor
250,1743,1,3,3,1923,Suburban,Good,Yes,178824,Yes,29,Medium,Outdoor
251,2705,3,4,3,1952,Rural,Fair,Yes,823202,No,0,None,None
252,3024,2,1,1,1969,Suburban,Poor,No,866037,Yes,44,High,Indoor
253,1569,3,1,1,1942,Downtown,Good,No,685167,No,0,None,None
254,3944,4,4,3,1959,Urban,Excellent,No,695115,Yes,27,High,Outdoor
255,3065,5,2,1,1957,Urban,Poor,No,317724,Yes,26,Low,Indoor
256,1560,2,2,3,1948,Suburban,Poor,No,951334,Yes,33,Medium,Outdoor
257,2827,2,1,2,1941,Suburban,Excellent,No,317544,Yes,12,High,Indoor
258,3920,4,3,3,1975,Downtown,Good,No,745003,No,0,None,None
259,801,1,2,2,2012,Rural,Poor,Yes,801545,No,0,None,None
260,4776,5,3,1,1999,Urban,Poor,No,932464,Yes,41,High,Indoor
261,1106,2,2,1,1965,Urban,Poor,Yes,177319,Yes,44,Low,Outdoor
262,3670,5,2,2,1910,Downtown,Good,Yes,562193,No,0,None,None
263,1199,2,3,1,2002,Downtown,Good,No,529389,Yes,47,Low,Outdoor
264,1639,5,4,2,1997,Suburban,Good,Yes,156960,Yes,22,High,Outdoor
265,690,3,2,1,1989,Suburban,Poor,No,89015,Yes,34,Medium,Outdoor
266,2800,2,2,3,1917,Rural,Fair,Yes,383857,No,0,None,None
267,1480,5,3,1,1984,Downtown,Excellent,Yes,778165,No,0,None,None
268,3475,1,4,3,1999,Rural,Fair,Yes,982478,No,0,None,None
269,1684,3,2,3,2003,Downtown,Good,No,195109,Yes,18,Medium,Outdoor
270,3827,3,2,2,1951,Urban,Poor,Yes,527508,Yes,13,Low,Outdoor
271,3894,1,4,1,1945,Downtown,Poor,Yes,836351,No,0,None,None
272,627,5,2,2,1943,Downtown,Fair,Yes,983671,No,0,None,None
273,2565,4,4,1,1921,Urban,Fair,No,138754,No,0,None,None
274,2316,1,4,3,1952,Downtown,Excellent,Yes,271775,No,0,None,None
275,1069,5,3,3,1958,Rural,Poor,No,355292,Yes,23,Low,Indoor
276,2395,1,1,1,1993,Suburban,Fair,Yes,777513,No,0,None,None
277,3233,1,4,1,2013,Suburban,Excellent,Yes,726894,Yes,46,High,Outdoor
278,4363,2,3,2,2006,Rural,Good,Yes,796355,No,0,None,None
279,4514,5,1,1,2023,Urban,Fair,No,959222,Yes,43,Low,Indoor
280,3401,4,2,1,1929,Downtown,Good,Yes,922510,No,0,None,None
281,2186,2,1,1,1907,Rural,Excellent,Yes,106879,No,0,None,None
282,3509,1,4,2,1997,Suburban,Good,Yes,169894,No,0,None,None
283,654,1,4,1,1956,Suburban,Poor,Yes,640127,No,0,None,None
284,3037,1,4,3,2010,Rural,Poor,No,79756,Yes,20,High,Indoor
285,1909,5,4,2,1972,Suburban,Good,Yes,718043,No,0,None,None
286,4557,5,4,2,2014,Rural,Poor,Yes,230557,Yes,12,Medium,Outdoor
287,1284,2,3,3,1919,Suburban,Excellent,Yes,279303,Yes,37,Medium,Indoor
288,3675,4,4,3,2003,Rural,Poor,Yes,454241,Yes,38,High,Outdoor
289,4841,2,3,3,1924,Downtown,Good,No,724075,Yes,18,Low,Outdoor
290,3306,3,2,1,1918,Downtown,Good,Yes,541599,No,0,None,None
291,1037,1,4,3,1904,Downtown,Good,Yes,545283,Yes,12,Medium,Indoor
292,2341,1,4,1,1974,Downtown,Fair,No,667231,Yes,34,Low,Indoor
293,2955,1,1,2,1978,Suburban,Good,Yes,792476,Yes,43,Medium,Outdoor
294,1024,2,2,2,1971,Urban,Excellent,Yes,198188,No,0,None,None
295,3450,2,4,3,1982,Rural,Poor,Yes,611032,No,0,None,None
296,4631,1,4,1,1986,Urban,Poor,No,174697,No,0,None,None
297,4615,2,2,3,1926,Suburban,Fair,Yes,530795,No,0,None,None
298,2868,5,3,3,1939,Suburban,Fair,No,690360,Yes,21,High,Outdoor
299,4347,5,4,1,1995,Urban,Excellent,No,445340,Yes,18,High,Indoor
300,4995,2,1,3,1925,Urban,Good,No,286028,No,0,None,None
301,3201,1,4,2,1926,Suburban,Fair,No,743411,Yes,24,High,Indoor
302,1471,2,1,3,1961,Suburban,Poor,No,57176,Yes,49,Medium,Indoor
303,1666,2,1,1,1982,Rural,Fair,No,927742,Yes,34,Low,Indoor
304,3274,2,4,1,1949,Downtown,Fair,No,826653,No,0,None,None
305,2482,3,4,2,1941,Downtown,Good,Yes,508034,No,0,None,None
306,1353,5,1,1,1928,Rural,Fair,Yes,563611,Yes,14,Low,Outdoor
307,4646,4,2,1,1938,Urban,Excellent,No,199748,No,0,None,None
308,4236,4,2,2,1959,Suburban,Poor,No,95177,No,0,None,None
309,4269,3,4,3,1940,Urban,Good,No,533512,No,0,None,None
310,1074,2,3,2,1932,Downtown,Poor,No,160623,No,0,None,None
311,3761,3,2,3,1982,Downtown,Excellent,No,575285,No,0,None,None
312,1648,3,4,2,2000,Urban,Excellent,No,502546,Yes,20,Low,Outdoor
313,2215,1,2,3,1982,Downtown,Fair,Yes,546184,No,0,None,None
314,4354,5,3,2,1996,Suburban,Fair,Yes,694467,Yes,43,Medium,Outdoor
315,2991,4,4,3,2010,Rural,Fair,No,297439,Yes,33,Medium,Outdoor
316,3160,2,3,2,1915,Urban,Poor,No,694691,No,0,None,None
317,3624,4,4,3,1922,Suburban,Excellent,No,978735,Yes,24,Medium,Indoor
318,3551,4,3,2,1906,Suburban,Good,Yes,145287,Yes,47,Medium,Indoor
319,504,5,2,1,1925,Downtown,Fair,No,169574,Yes,17,Medium,Outdoor
320,1376,4,2,3,1995,Suburban,Poor,Yes,830751,No,0,None,None
321,1491,4,3,2,1911,Urban,Fair,Yes,171509,No,0,None,None
322,4642,3,3,3,1971,Suburban,Excellent,Yes,397591,Yes,14,Low,Outdoor
323,4864,5,3,3,1904,Rural,Good,No,945954,No,0,None,None
324,4965,1,4,2,2005,Suburban,Excellent,No,499181,No,0,None,None
325,1135,2,2,3,1991,Suburban,Poor,Yes,393288,No,0,None,None
326,2193,4,4,2,2016,Rural,Fair,Yes,822793,No,0,None,None
327,2182,2,2,1,1968,Suburban,Excellent,Yes,242589,Yes,35,Medium,Outdoor
328,619,1,1,3,1948,Suburban,Poor,Yes,929125,Yes,27,Medium,Outdoor
329,1330,2,4,1,1925,Downtown,Fair,No,406459,No,0,None,None
330,4175,1,2,3,1904,Urban,Good,Yes,538720,No,0,None,None
331,1869,3,2,3,1921,Downtown,Excellent,No,863819,Yes,15,Low,Outdoor
332,1240,4,4,3,1978,Urban,Fair,Yes,54090,Yes,46,Medium,Outdoor
333,616,1,4,2,1912,Rural,Fair,No,957278,No,0,None,None
334,3338,2,2,1,1927,Rural,Fair,Yes,468161,Yes,22,Low,Outdoor
335,1650,4,4,3,1932,Rural,Fair,No,876671,No,0,None,None
336,2431,3,3,2,2006,Urban,Excellent,No,53743,No,0,None,None
337,1512,4,4,3,1922,Urban,Fair,No,80924,Yes,37,Low,Outdoor
338,2164,1,4,2,1996,Urban,Poor,Yes,191268,Yes,14,High,Outdoor
339,1581,3,4,3,2006,Rural,Excellent,No,966592,No,0,None,None
340,1012,2,2,1,1917,Urban,Fair,Yes,928247,No,0,None,None
341,3349,3,3,1,2013,Suburban,Excellent,No,679600,Yes,22,High,Indoor
342,1059,3,1,3,2016,Downtown,Poor,No,381004,No,0,None,None
343,4172,5,1,2,1929,Rural,Poor,Yes,790537,Yes,26,High,Outdoor
344,3843,3,3,3,1925,Downtown,Excellent,No,798378,No,0,None,None
345,4570,3,3,2,1915,Suburban,Fair,No,279602,Yes,49,High,Indoor
346,1970,4,3,3,1976,Urban,Fair,Yes,392543,Yes,41,Medium,Indoor
347,1080,2,2,2,1938,Downtown,Poor,No,885227,Yes,38,High,Outdoor
348,2794,4,1,1,1932,Suburban,Fair,No,887985,No,0,None,None
349,3647,4,3,3,1925,Suburban,Poor,No,558928,No,0,None,None
